fecha,habilidad,actividad,minutos,modo,cantidad,unidad,notas
2026-07-01,vocabulary,Anki FSRS,22,activo,147,tarjetas,
2026-07-01,grammar,Gramática + ejercicios,12,activo,,,
2026-07-01,reading,Lectura extensiva (graded reader),18,activo,2214,palabras,
2026-07-01,listening,Escucha extensiva (podcast),13,activo,,minutos-audio,
2026-07-01,speaking,Conversación (IA),20,activo,,,
2026-07-01,speaking,4/3/2,15,activo,,,
2026-07-01,reading,Lectura rápida (fluidez),10,activo,1650,palabras,
2026-07-01,listening,Escucha pasiva (bus / tareas),34,pasivo,,minutos-audio,
2026-07-02,vocabulary,Anki FSRS,16,activo,158,tarjetas,
2026-07-02,speaking,Pronunciación / shadowing,8,activo,,,
2026-07-02,reading,Lectura extensiva (graded reader),16,activo,1872,palabras,
2026-07-02,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-07-02,writing,Reescritura + lista de errores,20,activo,,,
2026-07-02,writing,Escritura cronometrada,12,activo,108,palabras,
2026-07-02,reading,Lectura rápida (fluidez),10,activo,1420,palabras,
2026-07-02,listening,Escucha pasiva (bus / tareas),26,pasivo,,minutos-audio,
2026-07-03,listening,Escucha pasiva (bus / tareas),44,pasivo,,minutos-audio,
2026-07-04,vocabulary,Anki FSRS,22,activo,165,tarjetas,
2026-07-04,reading,Lectura extensiva (graded reader),18,activo,1998,palabras,
2026-07-04,listening,Escucha extensiva (podcast),16,activo,,minutos-audio,
2026-07-04,reading,Lectura rápida (fluidez),7,activo,1120,palabras,
2026-07-04,listening,Escucha pasiva (bus / tareas),20,pasivo,,minutos-audio,
2026-07-05,vocabulary,Anki FSRS,22,activo,125,tarjetas,
2026-07-05,reading,Lectura extensiva (graded reader),15,activo,1830,palabras,
2026-07-05,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-07-05,listening,Escucha pasiva (bus / tareas),28,pasivo,,minutos-audio,
2026-07-06,vocabulary,Anki FSRS,18,activo,155,tarjetas,
2026-07-06,grammar,Gramática + ejercicios,10,activo,,,
2026-07-06,reading,Lectura extensiva (graded reader),12,activo,1284,palabras,
2026-07-06,listening,Escucha extensiva (podcast),16,activo,,minutos-audio,
2026-07-06,speaking,Conversación (humano),26,activo,,,
2026-07-06,speaking,4/3/2,15,activo,,,
2026-07-06,reading,Lectura rápida (fluidez),6,activo,1002,palabras,
2026-07-06,listening,Escucha pasiva (bus / tareas),22,pasivo,,minutos-audio,
2026-07-08,vocabulary,Anki FSRS,18,activo,96,tarjetas,
2026-07-08,grammar,Gramática + ejercicios,11,activo,,,
2026-07-08,reading,Lectura extensiva (graded reader),15,activo,1905,palabras,
2026-07-08,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-07-08,speaking,Conversación (IA),24,activo,,,
2026-07-08,speaking,4/3/2,12,activo,,,
2026-07-08,reading,Lectura rápida (fluidez),10,activo,1600,palabras,
2026-07-08,listening,Escucha pasiva (bus / tareas),41,pasivo,,minutos-audio,
2026-07-09,vocabulary,Anki FSRS,16,activo,129,tarjetas,
2026-07-09,speaking,Pronunciación / shadowing,10,activo,,,
2026-07-09,reading,Lectura extensiva (graded reader),12,activo,1620,palabras,
2026-07-09,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-07-09,writing,Reescritura + lista de errores,19,activo,,,
2026-07-09,writing,Escritura cronometrada,9,activo,90,palabras,
2026-07-09,reading,Lectura rápida (fluidez),6,activo,840,palabras,
2026-07-09,listening,Escucha pasiva (bus / tareas),45,pasivo,,minutos-audio,
2026-07-10,vocabulary,Anki FSRS,18,activo,147,tarjetas,
2026-07-10,grammar,Gramática + ejercicios,12,activo,,,
2026-07-10,reading,Lectura extensiva (graded reader),13,activo,1664,palabras,
2026-07-10,listening,Escucha extensiva (podcast),18,activo,,minutos-audio,
2026-07-10,speaking,Conversación (humano),27,activo,,,
2026-07-10,speaking,4/3/2,15,activo,,,
2026-07-10,reading,Lectura rápida (fluidez),9,activo,1287,palabras,
2026-07-10,listening,Escucha pasiva (bus / tareas),26,pasivo,,minutos-audio,
2026-07-11,vocabulary,Anki FSRS,19,activo,92,tarjetas,
2026-07-11,reading,Lectura extensiva (graded reader),13,activo,1430,palabras,
2026-07-11,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-07-11,reading,Lectura rápida (fluidez),10,activo,1600,palabras,
2026-07-11,listening,Escucha pasiva (bus / tareas),21,pasivo,,minutos-audio,
2026-07-12,listening,Escucha pasiva (bus / tareas),28,pasivo,,minutos-audio,
2026-07-13,vocabulary,Anki FSRS,20,activo,127,tarjetas,
2026-07-13,grammar,Gramática + ejercicios,11,activo,,,
2026-07-13,reading,Lectura extensiva (graded reader),12,activo,1284,palabras,
2026-07-13,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-07-13,speaking,Conversación (humano),28,activo,,,
2026-07-13,speaking,4/3/2,13,activo,,,
2026-07-13,reading,Lectura rápida (fluidez),6,activo,954,palabras,
2026-07-13,listening,Escucha pasiva (bus / tareas),39,pasivo,,minutos-audio,
2026-07-14,vocabulary,Anki FSRS,22,activo,163,tarjetas,
2026-07-14,speaking,Pronunciación / shadowing,9,activo,,,
2026-07-14,reading,Lectura extensiva (graded reader),18,activo,2106,palabras,
2026-07-14,listening,Escucha extensiva (podcast),13,activo,,minutos-audio,
2026-07-14,writing,Texto + feedback (Write & Improve),35,activo,210,palabras,
2026-07-14,writing,Escritura cronometrada,10,activo,100,palabras,
2026-07-14,reading,Lectura rápida (fluidez),10,activo,1470,palabras,
2026-07-15,vocabulary,Anki FSRS,18,activo,139,tarjetas,
2026-07-15,grammar,Gramática + ejercicios,11,activo,,,
2026-07-15,reading,Lectura extensiva (graded reader),16,activo,1712,palabras,
2026-07-15,listening,Escucha extensiva (podcast),15,activo,,minutos-audio,
2026-07-15,speaking,Conversación (IA),18,activo,,,
2026-07-15,speaking,4/3/2,12,activo,,,
2026-07-15,reading,Lectura rápida (fluidez),6,activo,846,palabras,
2026-07-15,listening,Escucha pasiva (bus / tareas),28,pasivo,,minutos-audio,
2026-07-16,vocabulary,Anki FSRS,21,activo,122,tarjetas,
2026-07-16,speaking,Pronunciación / shadowing,11,activo,,,
2026-07-16,reading,Lectura extensiva (graded reader),18,activo,2394,palabras,
2026-07-16,listening,Escucha extensiva (podcast),16,activo,,minutos-audio,
2026-07-16,writing,Reescritura + lista de errores,25,activo,,,
2026-07-16,writing,Escritura cronometrada,10,activo,100,palabras,
2026-07-16,reading,Lectura rápida (fluidez),6,activo,864,palabras,
2026-07-16,listening,Escucha pasiva (bus / tareas),37,pasivo,,minutos-audio,
2026-07-17,vocabulary,Anki FSRS,16,activo,125,tarjetas,
2026-07-17,grammar,Gramática + ejercicios,9,activo,,,
2026-07-17,reading,Lectura extensiva (graded reader),13,activo,1664,palabras,
2026-07-17,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
2026-07-17,speaking,Conversación (humano),26,activo,,,
2026-07-17,speaking,4/3/2,14,activo,,,
2026-07-17,reading,Lectura rápida (fluidez),9,activo,1386,palabras,
2026-07-17,listening,Escucha pasiva (bus / tareas),21,pasivo,,minutos-audio,
2026-07-18,vocabulary,Anki FSRS,20,activo,157,tarjetas,
2026-07-18,reading,Lectura extensiva (graded reader),16,activo,1744,palabras,
2026-07-18,listening,Escucha extensiva (podcast),12,activo,,minutos-audio,
